chaps_id,cowID,Bull_turnout_date,conceptdate,breeddate,breedwt,breedcond,weandate,weanwt,Wean_Condition_Score
10111,S6230,2012-08-01,18-Oct-12,20-Jul-12,1165,5,14-Nov-13,1115,4
10111,S6230,2013-08-01,14-Nov-13,17-Jul-13,1055,4,19-Nov-14,1080,5
10112,S6241,2006-06-16,,15-Mar-07,502,0,,0,0
10112,S6241,2007-06-18,19-Sep-07,,0,0,,0,0
10113,S6242,2006-06-16,,15-Mar-07,512,0,,0,0
10113,S6242,2007-06-18,19-Sep-07,,0,0,16-Oct-08,886,5
10113,S6242,2008-06-10,,,0,0,,0,0
10113,S6242,2009-06-18,,,0,0,29-Oct-09,948,6
10113,S6242,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1050,5
10113,S6242,2011-08-08,14-Oct-11,14-Oct-11,1050,5,15-Nov-12,984,5
10113,S6242,2012-08-01,18-Oct-12,20-Jul-12,1065,5,14-Nov-13,1125,5
10113,S6242,2013-08-01,14-Nov-13,17-Jul-13,1055,5,,0,0
10114,S6244,2006-06-16,,15-Mar-07,512,0,,0,0
10114,S6244,2007-06-18,19-Sep-07,,0,0,16-Oct-08,938,6
10114,S6244,2008-06-10,,,0,0,,0,0
10114,S6244,2009-06-18,,,0,0,29-Oct-09,1070,7
10114,S6244,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1330,8
10115,S6248,2006-06-16,,15-Mar-07,490,0,,0,0
10115,S6248,2007-06-18,19-Sep-07,,0,0,30-Oct-08,924,7
10115,S6248,2008-06-10,,,0,0,,0,0
10115,S6248,2009-06-18,,,0,0,29-Oct-09,1025,6
10115,S6248,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1170,7
10115,S6248,2011-08-08,14-Oct-11,14-Oct-11,1170,7,15-Nov-12,1130,7
10115,S6248,2012-08-01,18-Oct-12,20-Jul-12,1170,6,14-Nov-13,1215,6
10115,S6248,2013-08-01,14-Nov-13,17-Jul-13,1205,6,17-Nov-14,1230,7
10116,S6250,2006-06-16,,15-Mar-07,468,0,,0,0
10116,S6250,2007-06-18,19-Sep-07,,0,0,30-Oct-08,1040,7
10116,S6250,2008-06-10,,,0,0,,0,0
10116,S6250,2009-06-18,,,0,0,16-Oct-09,1045,6
10116,S6250,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1125,5
10117,S6259,2006-06-16,,15-Mar-07,454,0,,0,0
10117,S6259,2007-06-18,19-Sep-07,,0,0,30-Oct-08,908,6
10117,S6259,2008-06-10,,,0,0,,0,0
10117,S6259,2009-06-18,,,0,0,29-Oct-09,1005,6
10117,S6259,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1180,6
10118,S6266,2006-06-16,,15-Mar-07,494,0,,0,0
10118,S6266,2007-06-18,19-Sep-07,,0,0,30-Oct-08,892,6
10118,S6266,2008-06-10,,,0,0,,0,0
10118,S6266,2009-06-18,,,0,0,29-Oct-09,1065,6
10118,S6266,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1200,5
10118,S6266,2011-08-08,14-Oct-11,14-Oct-11,1200,5,15-Nov-12,1095,4
10118,S6266,2012-08-01,18-Oct-12,20-Jul-12,1230,6,14-Nov-13,1195,5
10118,S6266,2013-08-01,14-Nov-13,17-Jul-14,1185,5,19-Nov-14,1195,5
10119,S6273,2006-06-16,,15-Mar-07,472,0,,0,0
10119,S6273,2007-06-18,19-Sep-07,,0,0,30-Oct-08,868,7
10119,S6273,2008-06-10,,,0,0,,0,0
10119,S6273,2009-06-18,,,0,0,16-Oct-09,944,6
10119,S6273,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1080,5
10119,S6273,2011-08-08,14-Oct-11,14-Oct-11,1080,5,15-Nov-12,1040,5
10119,S6273,2012-08-01,18-Oct-12,20-Jul-12,1200,6,14-Nov-13,1250,5
10119,S6273,2013-08-01,14-Nov-13,17-Jul-13,1195,5,19-Nov-14,1185,5
395,U8001,2009-06-18,,,0,0,15-Oct-10,796,5
395,U8001,2010-06-01,16-Aug-10,,0,0,14-Oct-11,792,5
396,U8004,2009-06-18,,,0,0,15-Oct-10,1005,5
398,U8008,2009-06-18,,,0,0,15-Oct-10,946,6
10124,U8012,2009-06-18,,,0,0,15-Oct-10,946,5
10124,U8012,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1030,6
10124,U8012,2011-08-08,14-Oct-11,14-Oct-11,1030,6,15-Nov-12,978,5
10124,U8012,2012-08-01,18-Oct-12,20-Jul-12,1040,5,14-Nov-13,1110,5
10124,U8012,2013-08-01,14-Nov-13,,0,0,14-Nov-13,1110,5
10126,U8019,2009-06-18,,,0,0,15-Oct-10,922,5
10126,U8019,2010-06-01,16-Aug-10,01-Jun-10,856,5,,0,0
400,U8020,2009-06-18,,,0,0,15-Oct-10,910,5
400,U8020,2010-06-01,16-Aug-10,,0,0,10-Nov-11,972,5
400,U8020,2011-08-08,10-Nov-11,10-Nov-11,972,5,15-Nov-12,1020,5
400,U8020,2012-08-01,18-Oct-12,20-Jul-12,1015,5,14-Nov-13,1130,4
400,U8020,2013-08-01,14-Nov-13,17-Jul-13,1130,5,17-Nov-14,1160,5
401,U8032,2009-06-18,,,0,0,15-Oct-10,920,5
401,U8032,2010-06-01,16-Aug-10,01-Jun-10,840,6,,0,0
10129,U8039,2009-06-18,,,0,0,15-Oct-10,902,5
10129,U8039,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1015,5
10129,U8039,2011-08-08,14-Oct-11,14-Oct-11,1015,5,15-Nov-12,950,5
10129,U8039,2012-08-01,18-Oct-12,20-Jul-12,962,5,14-Nov-13,1130,5
10129,U8039,2013-08-01,14-Nov-13,17-Jul-13,1050,5,,0,0
10130,U8042,2009-06-18,,,0,0,15-Oct-10,976,6
10130,U8042,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1070,5
10131,U8043,2009-06-18,,,0,0,15-Oct-10,944,6
10131,U8043,2010-06-01,16-Aug-10,,0,0,10-Nov-11,1030,5
10131,U8043,2011-08-08,10-Nov-11,10-Nov-11,1030,5,15-Nov-12,980,4
10131,U8043,2012-08-01,18-Oct-12,20-Jul-12,1105,5,13-Nov-13,1225,5
10131,U8043,2013-08-01,13-Nov-13,,0,0,13-Nov-13,1225,5
402,U8044,2009-06-18,,,0,0,15-Oct-10,992,5
402,U8044,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1200,6
402,U8044,2011-08-08,14-Oct-11,14-Oct-11,1200,6,15-Nov-12,1170,6
402,U8044,2012-08-01,18-Oct-12,20-Jul-12,1285,6,14-Nov-13,1335,6
402,U8044,2013-08-01,14-Nov-13,17-Jul-13,1290,5,17-Nov-14,1390,6
403,U8045,2009-06-18,,,0,0,15-Oct-10,932,5
403,U8045,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1020,4
403,U8045,2011-08-08,14-Oct-11,14-Oct-11,1020,4,15-Nov-12,1025,5
403,U8045,2012-08-01,18-Oct-12,20-Jul-12,1145,5,14-Nov-13,1170,5
403,U8045,2013-08-01,14-Nov-13,17-Jul-13,1110,6,17-Nov-14,1160,5
10134,U8054,2009-06-18,,,0,0,15-Oct-10,1005,5
10134,U8054,2010-06-01,16-Aug-10,,0,0,10-Nov-11,1120,6
10134,U8054,2011-08-08,10-Nov-11,10-Nov-11,1120,6,15-Nov-12,1120,5
10134,U8054,2012-08-01,18-Oct-12,20-Jul-12,1190,6,14-Nov-13,1340,5
10134,U8054,2013-08-01,14-Nov-13,17-Jul-13,1360,6,19-Nov-14,1295,5
